ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
303,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",55 - 64 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",7,,"Developer, mobile;Developer, full-stack",,,,,Swift,Swift,MySQL,MySQL,,,,,,,Git,Git,Xcode,Xcode,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",No,55-64 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
2341,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",7,6,Other (please specify):,I don’t know,PHP	Philippine peso,,Monthly,C;C++;JavaScript;Matlab;Python,,,,Google Cloud Platform,,,,,,,,Eclipse;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,Daily or almost daily,"Yes, somewhat",No,25-34 years old,"Non-binary, genderqueer, or gender non-conforming",No,Gay or Lesbian,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
2666,I code primarily as a hobby,I prefer not to say,Philippines,,,Primary/elementary school,11 - 17 years,Other (please specify):,1,,,,,,,JavaScript;Node.js,JavaScript;Node.js;TypeScript,,,Heroku,Google Cloud Platform;Heroku;IBM Cloud or Watson,,,,,,,Visual Studio Code,Visual Studio Code;Webstorm,Windows,Visit Stack Overflow;Do other work and come back later;Play games,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,Prefer not to say,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
2880,I am a student who is learning to code,"Student, full-time",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",5,,,,,,,C++;HTML/CSS;JavaScript;Node.js;PowerShell;Python;Rust;TypeScript,C++;HTML/CSS;JavaScript;Node.js;PowerShell;Python;Rust;TypeScript,Firebase;MongoDB,MongoDB;MySQL;PostgreSQL;Redis;SQLite,Google Cloud Platform;Heroku,AWS;DigitalOcean;Google Cloud Platform;Heroku,Express,Express;React.js;Svelte,,,Deno;Git,Deno;Docker;Git,Neovim;Visual Studio Code,Neovim;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,No,,"No, not at all",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
3286,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",10,5,"Developer, back-end",10 to 19 employees,USD	United States dollar,1898.0,Monthly,HTML/CSS;JavaScript;Python;SQL,Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,MariaDB;MySQL;PostgreSQL,MariaDB;MySQL;PostgreSQL;Redis,AWS;Google Cloud Platform;Heroku,AWS,Django;Flask;React.js,Angular;Django;Flask;React.js,,,Docker;Git;Yarn,Docker;Git;Kubernetes;Terraform;Yarn,Visual Studio Code,Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,I am deaf / hard of hearing,None of the above,Appropriate in length,Easy,22776.0
5243,I am a developer by profession,Employed full-time,Philippines,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",10,9,"Developer, mobile;Developer, front-end;Developer, full-stack",100 to 499 employees,PHP	Philippine peso,105000.0,Monthly,C#;C++;Kotlin;Swift,C#,Microsoft SQL Server;SQLite,Redis,AWS;Google Cloud Platform;Heroku;Microsoft Azure,AWS;Heroku,ASP.NET Core ,ASP.NET Core ,.NET Core / .NET 5,.NET Core / .NET 5,Git;Xamarin,Docker;Git;Unity 3D;Xamarin,Android Studio;Sublime Text;Xcode,Android Studio;Sublime Text;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"No, not at all",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Neither easy nor difficult,24888.0
5718,"I used to be a developer by profession, but no longer am",Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School;Online Forum;Friend or family member;Online Courses or Certification;Colleague,6,2,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, embedded applications or devices;DevOps specialist;System administrator",,,,,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL,Dart;Node.js;Python;Swift;TypeScript,MySQL;SQLite,Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis,Google Cloud Platform,AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure,jQuery;Laravel;React.js;Symfony;Vue.js,Angular;Angular.js;Django;Drupal;Express;Flask;jQuery;Laravel;React.js;Symfony;Vue.js,,,,,Notepad++;Sublime Text;Vim;Webstorm;Xcode,Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;PHPStorm;Sublime Text;Vim;Webstorm;Xcode,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games,Stack Overflow,Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
5841,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,9,4,"Developer, full-stack",10 to 19 employees,PHP	Philippine peso,51750.0,Monthly,C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,Microsoft SQL Server,DynamoDB;Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,Microsoft Azure,AWS;Google Cloud Platform,Angular;ASP.NET;ASP.NET Core ,Angular;ASP.NET;ASP.NET Core ;React.js;Vue.js,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Git,Ansible;Docker;Git;Terraform,Sublime Text;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,I don't know;Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,12264.0
6046,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",11,4,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineer, site reliability;System administrator",20 to 99 employees,PHP	Philippine peso,64000.0,Monthly,C#;C++;Groovy;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript;VBA,Go;HTML/CSS;JavaScript;Kotlin;Node.js;Objective-C;PowerShell;Python;Ruby;SQL;Swift;TypeScript,DynamoDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,AWS;Heroku;Microsoft Azure,AWS;Google Cloud Platform;Microsoft Azure,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Drupal;Express;Flask;jQuery;Laravel;Spring;Symfony,Angular;Django;Flask;React.js;Vue.js,.NET Framework;Apache Spark;Cordova,Cordova;Flutter;Hadoop;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch,Docker;Git;Terraform,Ansible;Docker;Git;Kubernetes;Puppet;Terraform;Unity 3D;Unreal Engine;Xamarin;Yarn,Android Studio;Atom;Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode,Android Studio;Eclipse;Visual Studio Code;Xcode,Windows Subsystem for Linux (WSL),Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual;Bisexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,15168.0
6670,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",5,1,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",PHP	Philippine peso,18000.0,Monthly,HTML/CSS;JavaScript;Node.js;PHP;TypeScript,C;C++,Firebase;MongoDB;MySQL;PostgreSQL,Couchbase;Elasticsearch,AWS;Heroku,DigitalOcean;Google Cloud Platform;Microsoft Azure,Express;jQuery;Laravel;React.js,Angular;Angular.js;Vue.js,,,Docker;Git;Yarn,Kubernetes,Sublime Text;Visual Studio Code,,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,4272.0
